HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,SalePrice,TimeToSubway_min,Age,Size_m2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,346017,2.5,18,128.856461
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,150442,12.5,39,84.913342
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,61946,17.5,28,51.839874
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,165486,7.5,20,84.913342
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,311504,2.5,19,161.929929
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,118584,17.5,28,51.839874
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,326548,2.5,18,123.932602
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,143362,7.5,20,53.140516
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,172566,30.0,16,84.54173
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2,99823,7.5,11,26.756064
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,4,211504,12.5,39,105.07329299999999
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,9,305309,2.5,11,78.317229
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,145132,7.5,20,53.140516
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,5,209734,30.0,16,107.76748
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,168141,17.5,32,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,144752,2.5,12,59.829532
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,389380,2.5,12,84.54173
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,347787,2.5,18,123.932602
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,263345,2.5,12,84.54173
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,207079,7.5,20,84.913342
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,7,149274,2.5,12,59.829532
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,8,200000,2.5,17,77.016587
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,85132,17.5,32,59.829532
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,245132,7.5,20,69.026929
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,10,256637,2.5,18,80.639804
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,5,207964,12.5,19,84.54173
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,10,371681,2.5,11,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,442477,2.5,18,151.338987
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,435398,2.5,18,157.00607
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,75920,7.5,20,53.140516
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,280530,2.5,18,118.265519
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,207964,17.5,32,84.913342
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,371681,2.5,18,137.775149
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,163716,17.5,32,84.913342
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,7,263716,7.5,20,84.913342
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,7,286725,7.5,10,59.829532
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,4,138938,17.5,32,59.829532
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,1,57522,7.5,11,14.492868
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,5,302654,2.5,19,131.179036
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,10,391150,7.5,10,84.54173
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,4,215176,2.5,18,129.506782
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,5,75221,17.5,28,59.829532
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,5,476106,2.5,18,157.00607
